Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"SDP",162,2429,5526,6103,1456,989,259,18,190,760,726,458,18,1077,56,31,28,133,120,28,0.263481722
"ARI",162,2436,5522,6284,1452,933,271,37,211,886,845,569,17,1265,84,66,34,112,119,30,0.262948207
"HOU",161,2336,5530,6107,1448,978,264,16,190,740,701,448,28,1176,67,46,12,132,93,24,0.261844484
"LAD",162,2403,5522,6255,1423,873,291,26,233,842,815,602,33,1336,64,51,10,99,136,23,0.257696486
"PHI",162,2317,5534,6166,1423,916,285,24,198,784,750,515,21,1370,62,40,13,107,148,30,0.257137694
"BOS",162,2416,5577,6192,1404,869,311,30,194,751,724,493,30,1570,73,40,7,110,144,44,0.251748251
"BAL",162,2412,5567,6176,1391,861,262,33,235,786,759,489,14,1359,64,45,6,71,98,25,0.249865277
"MIL",162,2381,5472,6170,1359,900,249,33,177,777,742,597,19,1459,46,34,15,97,217,42,0.248355263
"NYY",162,2304,5450,6245,1352,857,243,15,237,815,782,672,26,1326,49,57,14,138,88,26,0.248073394
"KCR",162,2409,5421,5982,1343,874,264,35,170,735,711,429,22,1161,52,54,23,95,134,31,0.247740269
"STL",162,2352,5507,6114,1363,920,257,21,165,672,639,478,10,1318,56,47,17,91,91,29,0.247503177
"NYM",162,2404,5510,6166,1357,856,279,15,207,768,735,514,11,1382,92,36,10,105,106,22,0.246279491
"MIN",162,2451,5490,6123,1352,837,309,23,183,742,702,473,15,1306,101,47,10,115,65,23,0.246265938
"MIA",162,2451,5522,6048,1347,931,243,23,150,637,611,403,16,1410,55,41,24,119,125,43,0.243933357
"ATL",162,2283,5481,6075,1333,832,273,15,213,704,674,485,11,1461,58,39,9,119,69,20,0.243203794
"WSN",162,2353,5374,5971,1306,886,267,18,135,660,621,456,11,1220,73,40,26,115,223,73,0.243021957
"CHC",162,2364,5441,6116,1318,866,253,29,170,736,696,546,19,1362,70,41,17,89,143,30,0.242234883
"COL",162,2277,5454,6026,1319,838,277,25,179,682,655,453,20,1617,51,45,19,126,85,31,0.24184085
"TOR",162,2400,5410,6060,1306,844,280,26,156,671,640,510,18,1233,78,45,14,126,72,16,0.241404805
"SFG",162,2414,5460,6062,1303,830,266,30,177,693,661,492,15,1452,52,47,10,115,68,22,0.238644688
"TEX",162,2291,5472,6053,1302,891,220,15,176,683,652,490,20,1284,55,30,6,96,97,25,0.237938596
"CLE",161,2455,5310,5927,1263,815,245,18,185,708,670,466,30,1196,87,43,17,111,148,46,0.237853107
"PIT",162,2342,5477,6086,1283,870,236,17,160,665,643,485,14,1506,60,47,16,100,106,19,0.234252327
"DET",162,2387,5442,6021,1273,820,244,47,162,682,656,476,12,1461,52,41,4,90,76,24,0.233921352
"OAK",162,2384,5432,6034,1267,812,240,19,196,643,619,493,11,1502,53,37,19,105,98,26,0.233247422
"CIN",162,2380,5325,5970,1230,770,257,29,174,699,663,496,7,1459,87,43,18,86,207,45,0.230985915
"TBR",162,2392,5389,6006,1241,826,245,23,147,604,564,493,15,1485,78,32,10,87,178,53,0.230283911
"LAA",162,2308,5357,5975,1227,820,227,15,165,635,596,482,4,1416,86,35,12,116,133,50,0.229046107
"SEA",162,2383,5330,6067,1195,769,228,13,185,676,642,571,14,1625,116,34,14,106,140,28,0.224202626
"CHW",162,2360,5383,5869,1187,819,226,9,133,507,485,395,8,1403,43,27,18,116,90,33,0.220509009