Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",6073,4282,86.86735159537957,114.927,10.93116969030033,210,0.0490425,1364,0.31854274,0.242659279,,0.397229916,,0.3067824038000379,
"BAL",6140,4286,88.19600007576652,118.468,11.784605814646197,282,0.06579561,1579,0.36840877,0.26,,0.435044247,,0.31828939378778004,
"BOS",6338,4490,87.25664947557911,114.315,10.93258402028921,202,0.04498886,1464,0.32605791,0.25771741,,0.406597283,,0.3163640555863243,
"CHW",6059,4185,86.95065526610792,115.535,10.62069701717806,238,0.05686977,1356,0.32401434,0.256121893,,0.417195719,,0.3130341214098376,
"CLE",6234,4427,88.05593282390818,114.552,12.582347351985858,262,0.05918229,1586,0.35825616,0.262928688,,0.449283251,,0.3359310616760192,
"DET",6150,4282,87.51227692753652,114.191,12.522955062531999,273,0.06375525,1531,0.3575432,0.258279337,,0.42386609,,0.32079461824471056,
"KCR",6027,4426,87.423522861585,118.046,13.460080833180921,237,0.05354722,1432,0.3235427,0.259393063,,0.419617052,,0.3122518867338852,
"MIN",6261,4280,87.58243561519532,116.202,13.451731652910711,242,0.05654206,1428,0.33364486,0.259852438,,0.433687241,,0.3288697541614415,
"NYY",6354,4288,87.5654326635944,121.07,12.617439755301268,295,0.06879664,1440,0.3358209,0.26153021,,0.446549874,,0.33551458404951634,
"OAK",6126,4027,88.42408051162344,113.54,15.308515836270747,289,0.07176558,1487,0.36925751,0.245973645,,0.435761346,,0.32264622609420196,
"SEA",6166,4334,88.00127723618664,117.745,11.724563373639963,251,0.05791417,1514,0.34933087,0.258692127,,0.423527292,,0.32079858407865164,
"TBR",6147,4009,87.20242729894335,116.217,12.149638718810213,260,0.06485408,1363,0.33998503,0.244614822,,0.42241694,,0.31557260671116616,
"TEX",6122,4004,87.72053955637652,117.28,12.90364194286668,279,0.06968032,1386,0.34615385,0.244198895,,0.429834254,,0.32123256026913727,
"TOR",6154,4234,87.40827788660863,113.49,12.260890053134823,262,0.06188002,1426,0.33679735,0.240043644,,0.411893071,,0.31157219707234807,
"ARI",6224,4136,87.9798085607169,114.77,10.119774353821915,236,0.05705996,1475,0.35662476,0.254298642,,0.444705882,,0.32923077882695273,
"ATL",6216,4492,86.69173239298287,114.424,10.052126239075594,211,0.0469724,1349,0.30031167,0.262714899,,0.412428366,,0.3156380263737605,
"CHC",6283,4178,87.3948887389568,116.076,11.971582195348399,274,0.06558162,1413,0.3382001,0.255094614,,0.437227074,,0.3310095960170021,
"CIN",6213,4247,85.46349627757839,113.027,12.905448853638196,216,0.05085943,1161,0.27336944,0.253464624,,0.432530999,,0.3249784412628605,
"COL",6201,4230,86.84794483531606,117.061,9.95064285810066,185,0.04373522,1344,0.3177305,0.272858691,,0.44362125,,0.332402720186402,
"MIA",6248,4413,86.99690232163437,122.181,8.29991413275067,237,0.05370496,1396,0.31633809,0.26722599,,0.430560514,,0.3245971734231373,
"HOU",6271,4605,88.02650882381657,114.561,12.340372029163273,245,0.05320304,1615,0.35070575,0.281767955,,0.477811441,,0.3486017445557222,
"LAD",6191,4098,88.2336873209676,115.971,12.19179267777231,268,0.06539776,1481,0.3613958,0.249075443,,0.436760355,,0.32963331570302634,
"MIL",6135,3964,87.10297076482239,114.747,10.660745809380629,238,0.06004036,1309,0.330222,0.249314066,,0.429120175,,0.321109614251844,
"WSN",6214,4314,88.1221302075271,118.277,11.589570656287183,256,0.05934168,1562,0.36207696,0.265982351,,0.449306681,,0.33078119529628985,
"NYM",6169,4292,87.0931642130921,115.199,13.96289971042048,241,0.05615098,1430,0.33317801,0.250272232,,0.43430127,,0.32168675913688827,
"PHI",6133,4175,87.41856834597704,114.56,10.136385836484955,220,0.05269461,1388,0.33245509,0.24968383,,0.408852755,,0.3103068584249743,
"PIT",6136,4316,86.27442695335779,112.37,10.17479580326785,164,0.03799815,1289,0.29865616,0.24386222,,0.385672407,,0.3043434232778584,
"STL",6219,4213,87.30964965483474,113.34,12.567654142228886,265,0.06290055,1421,0.33728934,0.256307129,,0.42595978,,0.3256457822380352,
"SDP",5954,3942,86.12461040016218,113.657,12.534879526968812,184,0.04667681,1141,0.28944698,0.233569828,,0.393390589,,0.2975304581425053,
"SFG",6137,4430,86.69466739740056,113.964,10.60826469993988,190,0.04288939,1322,0.29841986,0.24896415,,0.380471987,,0.29638774166352316,